Dates,06-06-2025,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
5 Iron,0,99.4,L5.0,15.5,1824,R12.1,1783,R381,13.3,133.5,156.0,L4.1,27.1,L0.0,L0.0,0.0,0.0
5 Iron,1,103.6,L5.4,15.6,1631,R15.1,1575,R424,14.2,143.5,167.9,L3.8,27.1,L0.0,L0.0,0.0,0.0
5 Iron,2,99.9,L2.1,16.6,2284,R39.6,1760,R1455,13.5,128.0,149.8,R16.2,28.1,L0.0,L0.0,0.0,0.0
5 Iron,3,105.4,L13.0,-3.0,3235,L67.5,1237,L2989,0.0,0.8,125.8,L0.2,0.1,L0.0,L0.0,0.0,0.0
5 Iron,4,115.5,L18.6,-4.1,3761,L86.1,-252,L3752,0.0,0.8,134.3,L0.2,0.1,L0.0,L0.0,0.0,0.0
5 Iron,5,120.4,L5.9,8.2,2073,L40.8,1568,L1355,6.6,133.3,174.9,L30.1,14.5,L0.0,L0.0,0.0,0.0
5 Iron,6,98.0,R6.2,15.1,4183,R24.1,3819,R1707,14.3,127.3,142.0,R28.7,30.6,R2.2,R7.1,-2.6,20.8
5 Iron,7,33.0,L24.7,23.4,3529,R45.7,2466,R2523,2.1,17.4,25.7,L6.0,25.1,L0.0,L0.0,0.0,0.0
5 Iron,8,69.5,R0.8,31.5,9290,R4.1,9267,R656,18.7,78.7,79.1,R2.9,47.1,L0.0,L0.0,0.0,0.0
5 Iron,9,64.6,R21.8,20.5,5431,R57.7,2898,R4593,6.5,57.6,72.3,R27.0,26.8,L0.0,L0.0,0.0,0.0
5 Iron,10,62.6,R21.6,22.7,5822,0.0,5822,0,8.9,64.6,71.3,R21.7,32.9,L0.0,L0.0,0.0,0.0
5 Iron,11,54.4,R1.1,36.8,5475,R4.5,5458,R425,13.1,53.7,55.9,R1.8,46.4,L0.0,L0.0,0.0,0.0
5 Iron,12,70.2,R15.8,1.0,4356,L38.8,3395,L2728,0.0,7.1,44.3,R1.7,1.0,L0.0,L0.0,0.0,0.0
5 Iron,13,60.2,R7.3,39.7,6910,R23.5,6337,R2754,17.8,61.8,62.7,R14.1,51.1,L0.0,L0.0,0.0,0.0
5 Iron,14,62.5,R0.9,35.4,6103,R22.9,5620,R2379,16.4,66.9,69.0,R7.9,47.6,L11.2,R3.8,2.2,45.4
5 Iron,15,59.6,R5.1,35.1,8290,R16.8,7935,R2398,15.1,61.8,62.6,R9.9,46.9,L7.5,R8.2,2.5,44.9
5 Iron,16,61.3,L8.7,26.2,2454,L23.0,2259,L957,9.7,64.6,77.2,L12.7,33.6,L6.0,L9.3,3.2,33.3
5 Iron,17,70.0,R0.5,32.9,8568,R19.9,8054,R2921,19.4,79.2,79.8,R9.8,48.1,L10.1,R3.1,-4.5,44.1
5 Iron,18,68.5,R1.5,30.5,9295,R28.0,8204,R4367,16.4,75.8,76.9,R13.1,45.0,L13.1,R5.0,-5.1,41.1
5 Iron,19,65.1,L0.1,33.8,5185,R24.0,4736,R2111,16.6,71.9,75.1,R7.5,46.6,L13.2,R3.2,1.4,43.6
5 Iron,20,62.2,R4.3,35.6,8763,R25.6,7905,R3780,16.6,65.3,65.9,R12.8,48.2,L12.7,R8.5,-4.7,47.4
5 Iron,21,57.8,R5.3,35.8,4933,R32.3,4170,R2636,13.8,58.6,62.2,R11.6,46.1,L11.6,R9.2,2.3,45.8
5 Iron,22,61.5,L1.2,34.2,4539,R23.3,4169,R1796,15.0,65.9,69.7,R4.6,45.8,L13.6,R1.9,2.2,43.8
5 Iron,23,67.1,R1.2,35.9,6959,R24.6,6329,R2894,19.4,73.9,75.3,R10.9,49.4,L11.6,R4.4,0.2,46.7
5 Iron,24,67.7,R1.3,28.6,9602,R28.4,8448,R4564,14.8,74.3,75.6,R12.3,42.7,L13.7,R5.0,-3.9,38.4
5 Iron,25,64.6,R5.1,36.7,8517,R25.5,7688,R3663,18.7,69.0,69.4,R15.0,50.0,L12.6,R9.6,-2.9,48.5
5 Iron,26,50.2,R12.3,43.2,5268,R30.0,4562,R2635,13.4,45.3,47.0,R13.3,51.3,L18.8,R20.1,-4.2,56.8
5 Iron,27,57.7,R9.5,38.9,7805,R32.1,6614,R4144,15.7,57.4,58.3,R16.7,49.7,L0.0,L0.0,0.0,0.0
5 Iron,28,60.4,R18.5,24.9,4803,L74.9,1247,L4638,7.1,52.2,66.3,R7.5,31.4,L10.6,R25.0,-3.3,33.4
5 Iron,29,73.0,L3.1,24.4,3313,R21.8,3076,R1230,13.3,87.6,99.4,R3.0,35.0,L13.6,L0.5,2.2,31.4
5 Iron,30,81.9,L0.1,-0.1,4766,R74.7,-1259,R4596,0.0,0.6,102.7,L0.0,0.1,L12.2,R2.9,-4.5,1.5
5 Iron,31,79.2,R2.7,30.6,7524,R27.4,6680,R3462,22.3,94.4,95.9,R19.9,48.2,L10.4,R5.9,1.5,39.7
5 Iron,32,70.2,R9.2,34.0,5982,R32.2,5063,R3187,19.3,79.2,81.8,R23.8,48.2,L16.1,R15.5,-4.5,45.5
5 Iron,33,76.2,R1.8,29.3,6161,R35.8,4997,R3603,18.4,88.7,92.6,R18.5,44.8,L14.9,R5.9,-0.3,38.4
5 Iron,34,70.0,L26.0,0.0,1467,R41.5,-1098,R972,0.0,0.5,89.2,L0.2,0.0,L18.9,L27.0,-3.5,1.4
5 Iron,35,67.6,R7.3,31.2,7806,R33.3,6523,R4288,16.0,74.6,76.7,R20.6,44.8,L15.1,R12.9,-3.1,41.5
5 Iron,36,63.1,L3.6,20.6,1428,R51.3,893,R1114,6.0,56.3,78.3,R1.2,24.6,L9.2,L2.2,3.4,26.1
5 Iron,37,75.0,R4.4,28.5,10023,R27.3,8906,R4598,18.5,86.1,86.9,R20.1,45.4,L13.0,R8.7,-3.8,38.3
5 Iron,38,74.2,R3.3,28.7,6777,R34.6,5580,R3846,17.1,85.4,88.8,R19.3,43.8,L15.3,R8.0,-1.1,37.8
5 Iron,39,78.9,R3.2,29.0,8685,R27.7,7689,R4039,20.9,93.4,94.6,R20.8,46.8,L11.8,R6.9,-4.4,39.2
5 Iron,40,80.8,L0.6,27.0,5410,R24.2,4936,R2214,19.7,99.7,103.9,R12.1,44.4,L11.4,R2.1,-0.7,35.7
5 Iron,41,64.8,L0.3,23.4,2877,R52.7,1745,R2287,8.2,64.4,80.6,R7.6,29.6,L14.8,R3.3,2.4,30.0
5 Iron,42,61.5,R2.0,1.0,2337,L72.6,698,L2230,0.0,3.1,79.0,R0.1,0.7,L9.6,R4.1,-3.0,2.5
5 Iron,43,59.7,R14.6,26.8,6541,L28.1,5767,L3085,9.9,60.2,65.1,R7.9,36.9,L11.8,R20.5,0.2,34.9
5 Iron,44,48.9,L3.7,12.5,1466,L71.7,460,L1392,1.3,22.2,46.8,L2.1,13.1,R14.3,L8.2,3.9,15.5
5 Iron,45,40.6,L2.4,9.1,570,L53.1,342,L456,0.5,11.7,33.0,L0.5,9.4,R11.3,L5.8,4.7,10.9
